"NAME","Branch","avg_rating"
"Argentina","Disneyland_California",4.44
"Australia","Disneyland_California",4.54
"Austria","Disneyland_California",4.2
"Bahrain","Disneyland_California",5
"Bangladesh","Disneyland_California",5
"Barbados","Disneyland_California",4.5
"Belgium","Disneyland_California",4.5
"Brazil","Disneyland_California",4.35
"Cambodia","Disneyland_California",4
"Canada","Disneyland_California",4.41
"Chile","Disneyland_California",4.56
"China","Disneyland_California",4.5
"Colombia","Disneyland_California",3.67
"Croatia","Disneyland_California",4
"Czechia","Disneyland_California",3.25
"Denmark","Disneyland_California",4.1
"Dominican Republic","Disneyland_California",5
"Egypt","Disneyland_California",4.89
"Estonia","Disneyland_California",2
"Ethiopia","Disneyland_California",5
"Finland","Disneyland_California",4.33
"France","Disneyland_California",4.24
"Germany","Disneyland_California",3.92
"Greece","Disneyland_California",4.45
"Guatemala","Disneyland_California",4.33
"Hong Kong","Disneyland_California",4.3
"Hungary","Disneyland_California",4
"India","Disneyland_California",4.36
"Indonesia","Disneyland_California",4.31
"Iran","Disneyland_California",5
"Ireland","Disneyland_California",4.15
"Israel","Disneyland_California",3.97
"Italy","Disneyland_California",4.37
"Japan","Disneyland_California",4.68
"Jersey","Disneyland_California",4
"Jordan","Disneyland_California",5
"Kazakhstan","Disneyland_California",5
"Kenya","Disneyland_California",4
"Kuwait","Disneyland_California",4.43
"Macau","Disneyland_California",4
"Malaysia","Disneyland_California",4.5
"Mexico","Disneyland_California",4.44
"Montenegro","Disneyland_California",5
"Netherlands","Disneyland_California",4.19
"New Zealand","Disneyland_California",4.49
"Nigeria","Disneyland_California",3.75
"Norway","Disneyland_California",4.04
"Pakistan","Disneyland_California",4.33
"Peru","Disneyland_California",4.6
"Philippines","Disneyland_California",4.53
"Poland","Disneyland_California",4.8
"Portugal","Disneyland_California",4.38
"Puerto Rico","Disneyland_California",4.47
"Qatar","Disneyland_California",4.5
"Romania","Disneyland_California",4.56
"Russia","Disneyland_California",4.43
"Saudi Arabia","Disneyland_California",4
"Singapore","Disneyland_California",4.19
"South Africa","Disneyland_California",4.23
"South Korea","Disneyland_California",4.3
"Spain","Disneyland_California",4.3
"Sri Lanka","Disneyland_California",4.5
"Sweden","Disneyland_California",4.06
"Switzerland","Disneyland_California",4.12
"Tanzania","Disneyland_California",4.5
"Thailand","Disneyland_California",3.87
"Trinidad and Tobago","Disneyland_California",3.5
"Turkey","Disneyland_California",4.9
"Uganda","Disneyland_California",5
"Ukraine","Disneyland_California",5
"United Arab Emirates","Disneyland_California",4.21
"United Kingdom","Disneyland_California",4.3
"United States","Disneyland_California",4.4
"Uruguay","Disneyland_California",3.75
"Vietnam","Disneyland_California",4.25
