"NAME","Branch","avg_rating"
"Argentina","Disneyland_HongKong",3.86
"Australia","Disneyland_HongKong",4.21
"Austria","Disneyland_HongKong",4.17
"Bahrain","Disneyland_HongKong",3.82
"Bangladesh","Disneyland_HongKong",4.14
"Barbados","Disneyland_HongKong",2
"Belgium","Disneyland_HongKong",3.83
"Brazil","Disneyland_HongKong",4.29
"Cambodia","Disneyland_HongKong",3.5
"Canada","Disneyland_HongKong",3.97
"Chile","Disneyland_HongKong",4.2
"China","Disneyland_HongKong",4.1
"Colombia","Disneyland_HongKong",3
"Croatia","Disneyland_HongKong",3
"Czechia","Disneyland_HongKong",5
"Denmark","Disneyland_HongKong",3.56
"Dominican Republic","Disneyland_HongKong",2.5
"Egypt","Disneyland_HongKong",4.17
"Estonia","Disneyland_HongKong",4.14
"Ethiopia","Disneyland_HongKong",5
"Finland","Disneyland_HongKong",4.23
"France","Disneyland_HongKong",4
"Germany","Disneyland_HongKong",3.97
"Greece","Disneyland_HongKong",3.67
"Guatemala","Disneyland_HongKong",4
"Hong Kong","Disneyland_HongKong",3.83
"Hungary","Disneyland_HongKong",3.5
"India","Disneyland_HongKong",4.52
"Indonesia","Disneyland_HongKong",4.35
"Iran","Disneyland_HongKong",4.2
"Ireland","Disneyland_HongKong",4.05
"Israel","Disneyland_HongKong",4.06
"Italy","Disneyland_HongKong",3.76
"Japan","Disneyland_HongKong",4.03
"Jersey","Disneyland_HongKong",4
"Jordan","Disneyland_HongKong",5
"Kazakhstan","Disneyland_HongKong",4
"Kenya","Disneyland_HongKong",4.67
"Kuwait","Disneyland_HongKong",4.35
"Macau","Disneyland_HongKong",4.21
"Malaysia","Disneyland_HongKong",4.23
"Mexico","Disneyland_HongKong",3.71
"Montenegro","Disneyland_HongKong",1
"Netherlands","Disneyland_HongKong",4.11
"New Zealand","Disneyland_HongKong",4.35
"Nigeria","Disneyland_HongKong",5
"Norway","Disneyland_HongKong",4.28
"Pakistan","Disneyland_HongKong",4.77
"Peru","Disneyland_HongKong",4.67
"Philippines","Disneyland_HongKong",4.4
"Poland","Disneyland_HongKong",5
"Portugal","Disneyland_HongKong",3.57
"Puerto Rico","Disneyland_HongKong",5
"Qatar","Disneyland_HongKong",4.46
"Romania","Disneyland_HongKong",4
"Russia","Disneyland_HongKong",4.56
"Saudi Arabia","Disneyland_HongKong",4.32
"Singapore","Disneyland_HongKong",4.05
"South Africa","Disneyland_HongKong",4.22
"South Korea","Disneyland_HongKong",4.17
"Spain","Disneyland_HongKong",3.52
"Sri Lanka","Disneyland_HongKong",4.47
"Sweden","Disneyland_HongKong",3.96
"Switzerland","Disneyland_HongKong",4.32
"Tanzania","Disneyland_HongKong",1
"Thailand","Disneyland_HongKong",4.1
"Trinidad and Tobago","Disneyland_HongKong",5
"Turkey","Disneyland_HongKong",4.5
"Uganda","Disneyland_HongKong",5
"Ukraine","Disneyland_HongKong",4.67
"United Arab Emirates","Disneyland_HongKong",4.35
"United Kingdom","Disneyland_HongKong",4.12
"United States","Disneyland_HongKong",4.17
"Uruguay","Disneyland_HongKong",3
"Vietnam","Disneyland_HongKong",4
