"NAME","Branch","avg_rating"
"Argentina","Disneyland_Paris",3.44
"Australia","Disneyland_Paris",3.67
"Austria","Disneyland_Paris",4.06
"Bahrain","Disneyland_Paris",4.2
"Bangladesh","Disneyland_Paris",4
"Barbados","Disneyland_Paris",4.5
"Belgium","Disneyland_Paris",3.68
"Brazil","Disneyland_Paris",4
"Cambodia","Disneyland_Paris",4
"Canada","Disneyland_Paris",3.56
"Chile","Disneyland_Paris",4.75
"China","Disneyland_Paris",3.91
"Colombia","Disneyland_Paris",3
"Croatia","Disneyland_Paris",3.82
"Czechia","Disneyland_Paris",3.8
"Denmark","Disneyland_Paris",3.58
"Dominican Republic","Disneyland_Paris",5
"Egypt","Disneyland_Paris",4.36
"Estonia","Disneyland_Paris",4
"Ethiopia","Disneyland_Paris",5
"Finland","Disneyland_Paris",4.17
"France","Disneyland_Paris",3.51
"Germany","Disneyland_Paris",3.9
"Greece","Disneyland_Paris",4.21
"Guatemala","Disneyland_Paris",1
"Hong Kong","Disneyland_Paris",3.71
"Hungary","Disneyland_Paris",4.35
"India","Disneyland_Paris",4.22
"Indonesia","Disneyland_Paris",4.03
"Iran","Disneyland_Paris",4.53
"Ireland","Disneyland_Paris",4.26
"Israel","Disneyland_Paris",3.77
"Italy","Disneyland_Paris",3.67
"Japan","Disneyland_Paris",3.33
"Jersey","Disneyland_Paris",3.25
"Jordan","Disneyland_Paris",4.6
"Kazakhstan","Disneyland_Paris",4.6
"Kenya","Disneyland_Paris",4.4
"Kuwait","Disneyland_Paris",4.32
"Macau","Disneyland_Paris",4
"Malaysia","Disneyland_Paris",4.2
"Mexico","Disneyland_Paris",4.42
"Montenegro","Disneyland_Paris",4
"Netherlands","Disneyland_Paris",3.85
"New Zealand","Disneyland_Paris",3.83
"Nigeria","Disneyland_Paris",4.33
"Norway","Disneyland_Paris",4.09
"Pakistan","Disneyland_Paris",4.44
"Peru","Disneyland_Paris",4.5
"Philippines","Disneyland_Paris",4.18
"Poland","Disneyland_Paris",3.47
"Portugal","Disneyland_Paris",4.25
"Puerto Rico","Disneyland_Paris",3
"Qatar","Disneyland_Paris",3.65
"Romania","Disneyland_Paris",4.42
"Russia","Disneyland_Paris",3.75
"Saudi Arabia","Disneyland_Paris",4.22
"Singapore","Disneyland_Paris",3.64
"South Africa","Disneyland_Paris",4.1
"South Korea","Disneyland_Paris",3.5
"Spain","Disneyland_Paris",3.89
"Sri Lanka","Disneyland_Paris",4.54
"Sweden","Disneyland_Paris",3.54
"Switzerland","Disneyland_Paris",3.49
"Tanzania","Disneyland_Paris",4
"Thailand","Disneyland_Paris",3.55
"Trinidad and Tobago","Disneyland_Paris",4.75
"Turkey","Disneyland_Paris",3.89
"Uganda","Disneyland_Paris",4
"Ukraine","Disneyland_Paris",4.5
"United Arab Emirates","Disneyland_Paris",3.97
"United Kingdom","Disneyland_Paris",4.04
"United States","Disneyland_Paris",3.76
"Uruguay","Disneyland_Paris",3.5
"Vietnam","Disneyland_Paris",3.25
