"NAME","Branch","avg_rating"
"Argentina","Disneyland_California",4.44
"Australia","Disneyland_California",4.54
"Austria","Disneyland_California",4.2
"Bahrain","Disneyland_California",5
"Bangladesh","Disneyland_California",5
"Barbados","Disneyland_California",4.5
"Belgium","Disneyland_California",4.5
"Brazil","Disneyland_California",4.35
"Cambodia","Disneyland_California",4
"Canada","Disneyland_California",4.41
"Chile","Disneyland_Paris",4.75
"China","Disneyland_California",4.5
"Colombia","Disneyland_California",3.67
"Croatia","Disneyland_California",4
"Czech Republic","Disneyland_HongKong",5
"Denmark","Disneyland_California",4.1
"Dominican Republic","Disneyland_California",5
"Egypt","Disneyland_California",4.89
"Estonia","Disneyland_HongKong",4.14
"Ethiopia","Disneyland_Paris",5
"Finland","Disneyland_California",4.33
"France","Disneyland_California",4.24
"Germany","Disneyland_HongKong",3.97
"Greece","Disneyland_California",4.45
"Guatemala","Disneyland_California",4.33
"Hong Kong","Disneyland_California",4.3
"Hungary","Disneyland_Paris",4.35
"India","Disneyland_HongKong",4.52
"Indonesia","Disneyland_HongKong",4.35
"Iran","Disneyland_California",5
"Ireland","Disneyland_Paris",4.26
"Israel","Disneyland_HongKong",4.06
"Italy","Disneyland_California",4.37
"Japan","Disneyland_California",4.68
"Jersey","Disneyland_HongKong",4
"Jordan","Disneyland_HongKong",5
"Kazakhstan","Disneyland_California",5
"Kenya","Disneyland_HongKong",4.67
"Kuwait","Disneyland_California",4.43
"Macau","Disneyland_HongKong",4.21
"Malaysia","Disneyland_California",4.5
"Mexico","Disneyland_California",4.44
"Montenegro","Disneyland_California",5
"Netherlands","Disneyland_California",4.19
"New Zealand","Disneyland_California",4.49
"Nigeria","Disneyland_HongKong",5
"Norway","Disneyland_HongKong",4.28
"Pakistan","Disneyland_HongKong",4.77
"Peru","Disneyland_HongKong",4.67
"Philippines","Disneyland_California",4.53
"Poland","Disneyland_HongKong",5
"Portugal","Disneyland_California",4.38
"Puerto Rico","Disneyland_HongKong",5
"Qatar","Disneyland_California",4.5
"Romania","Disneyland_California",4.56
"Russia","Disneyland_HongKong",4.56
"Saudi Arabia","Disneyland_HongKong",4.32
"Singapore","Disneyland_California",4.19
"South Africa","Disneyland_California",4.23
"Korea, Republic of","Disneyland_California",4.3
"Spain","Disneyland_California",4.3
"Sri Lanka","Disneyland_Paris",4.54
"Sweden","Disneyland_California",4.06
"Switzerland","Disneyland_HongKong",4.32
"United Republic of Tanzania","Disneyland_California",4.5
"Thailand","Disneyland_HongKong",4.1
"Trinidad and Tobago","Disneyland_HongKong",5
"Turkey","Disneyland_California",4.9
"Uganda","Disneyland_California",5
"Ukraine","Disneyland_California",5
"United Arab Emirates","Disneyland_HongKong",4.35
"United Kingdom","Disneyland_California",4.3
"United States","Disneyland_California",4.4
"Uruguay","Disneyland_California",3.75
"Viet Nam","Disneyland_California",4.25
